Title,Rating,Review_counts,City,Province,Reviews
"The Hoblet,15 min. from the brink of Niagara Falls",5,134,Niagara Falls, Ontario, mention of vacation rentals The Hoblet is a great vacation/ getaway spot. It’s whimsical
Stunning Secluded Oceanfront Island Home Near Lunenburg! Car-Accessible.,5,17,Lunenburg, Nova Scotia, mention of vacation rentals I absolutely fell in love with this rental property. The home has
"Kitsilano's best, unique Coach House, license# 19-161084",5,101,Vancouver, British Columbia, mention of vacation rentals to rent from. This is a vacation rental that is even better in person
Beautiful Home on Chesterman Beach,5,31,Tofino, British Columbia, mention of vacation rentals vacation! Could not have been a better family vacation. Would go again in a heartbeat!
Kate's Cove,5,30,Murray Harbour, Prince Edward Island, mentions of vacation rentals the twinkle of stars at night all combine to make this rental a real
69 Glaciers Reach this 2br home has a hot tub & pool in Whistler Village,4.5,58,Whistler, British Columbia, mentions of vacation rentals Trevor and company at AllSeason Vacation Rentals is top notch. They
Modern Living in Victoria's Historical Downtown,5,56,Victoria, British Columbia, mentions of vacation rentals overpriced. We narrowed it down to about  rentals and settled on this
Castaway Ocean Lodge,5,14,Lockeport, Nova Scotia," mention of vacation rentals I've never seen in a rental before!), the views, the comfortable beds"
Legacy Vacation Rental,5,28,Valemount, British Columbia,I have stayed at legacy Vacation in Valemount BC on my way to Jasper.
Crescendo at Big White: an Executive Rental of Unparalleled Excellence,5,86,Big White, British Columbia," mentions of vacation rentals ""relaxing"" vacation we have had with our  year old and  year old. They"
Ski-in/Ski-Out-6BR/6BA Home-Hot Tub-Whistler Home,5,17,Whistler, British Columbia, mention of vacation rentals to relax and enjoy our ski vacation. There was plenty of space and a
"Revelstoke, BC - Top Hat Terrace Vacation Rental",5,12,Revelstoke, British Columbia, mention of vacation rentals This vacation rental was just what we needed for our large group.
Four Season Muskoka Lakefront Rental,4.5,26,Kearney, Ontario, mentions of vacation rentals rental is VERY reasonably priced. I went with my sister. This vacation
Regent House,5,72,Niagara-on-the-Lake, Ontario, mentions of vacation rentals and beyond what one would ordinarily expect in a vacation rental. The
Clifton Hill Luxury Condo - 301- SALE - HALF OFF CLEANING until Monday!,4,14,Niagara Falls, Ontario, mentions of vacation rentals  enjoyed our mini vacation...and will return again to this rental
Muskoka Soul * 5-Star Luxury Rentals * The Lake House,5,80,Gravenhurst, Ontario,recommended for your cottage vacation. start to end the service and
Bear's Den: 2 bdrm/kitchen suite in Jasper town,5,25,Jasper, Alberta, mentions of vacation rentals such concerns here) While this was our first vacation rental stay
AllTheBestOne Grand Bend Cottage,5,51,Grand Bend, Ontario, mention of vacation rentals relaxing vacation and activities. We booked all three units (upper
Hubbards/Halifax Oceanfront Home in Nova Scotia,5,51,Hubbards, Nova Scotia, mentions of vacation rentals house. It was clean and had everything we needed for a great vacation.
For a memorable stay in Montreal...,5,33,Montreal, Quebec," mentions of vacation rentals vacation to Montréal, QC! The apartment was conveniently located steps away"
"Riverfront, Central 3 Bedroom/3 Bathroom Condo in the Heart of Old Quebec",5,67,Quebec City, Quebec, mentions of vacation rentals made it possible for us to have the best family vacation ever - not an
"Award-winning Canmore 2-bedroom, superb location!",5,40,Canmore, Alberta, mentions of vacation rentals We have stayed at four different vacation rental properties in
Bel Air Tremblant Stowe Miniloft #1,5,27,Mont Tremblant, Quebec," mentions of vacation rentals , beautiful modern, confortable just perfect for our vacation . We"
Dog and Family Friendly Riverside Vacation Rental,5,20,Nanaimo, British Columbia,"When we entered the cabin, an apple cake awaited us on the table - yammee... You ..."
"Beautiful Oceanview 4 bedroom vacation home, Digby",3.5,4,Digby, Nova Scotia, mention of vacation rentals This rental was for a golf trip to Digby. The house was spacious
The Janion Vacation Rental,4.5,11,Victoria, British Columbia,"This is, without a doubt, the cutest rental we've ever stayed in. It"
65 Glaciers Reach this 1br home has a hot tub & pool in Whistler Village,4.5,79,Whistler, British Columbia,We enjoyed our stay at this rental property. The hot tub was great
Charming Vacation Rental in Byward Market,4,7,Ottawa, Ontario,Quiet neighbourhood. The condo could use a throrough cleaning......:)...
Tranquil Malahat Waterfront Retreat Awaits You,5,15,Victoria, British Columbia," mentions of vacation rentals amazing! The view, the solitude, and the house make this a spectacular vacation rental property."
Blomidon Vacation Rentals,4.5,7,Wolfville, Nova Scotia,no complaints about how they treated us or the lovely rental unit
Copper Fern Guest House,5,30,Courtenay, British Columbia," mentions of vacation rentals I would certainly recommend this vacation rental, and would stay here again in the future."
Tides and Time Vacation House,5,15,Annapolis Royal, Nova Scotia, mention of vacation rentals I would absolutely recommend this rental to anyone. The location is
Cedar Shack - Private Beach Cabin with Private Hot Tub - 300' Feet to the Beach,5,58,Tofino, British Columbia, mentions of vacation rentals are frequent users of rental vacation properties and the owners
Family Getaway,4.5,23,Montreal, Quebec," mention of vacation rentals We spent a vacation at apartment # in Barkley, Montreal , the place"
Maison aux pignons 4 stars(metro station Du College),5,58,Montreal, Quebec, mentions of vacation rentals best furnished kitchen I have ever seen in a vacation rental. In the
EAGLE'S AERIE,5,49,Qualicum Beach, British Columbia, mentions of vacation rentals and book this vacation rental! You won't regret it!
Acer Vacations | Affordable Whistler Rental Apartment Marquise 2 Bedroom,4.5,16,Whistler, British Columbia, mention of vacation rentals black comb village. We had no contact with the rental staff during our
#17 The French Girl's Lair / 1BR / Pet Friendly,5,52,Port Renfrew, British Columbia,", shampoo, etc. Rental was very easy. Friendly service and clear"
Casablanca Cottage,5,33,Niagara-on-the-Lake, Ontario, mentions of vacation rentals The amenities inside and outside the house all make for a relaxing and enjoyable vacation.
"2 bed, well equipped, tastefully furnished, comfortable apartment",4.5,67,Whistler, British Columbia," mentions of vacation rentals , and we already have plans to return. I highly recommend this condo rental. Thank you Andrew!"
Acer Vacations | 1 Bedroom Ski-In Ski-Out Blackcomb Condo - Greystone Lodge,5,20,Whistler, British Columbia, mention of vacation rentals my friend who signed the rental aggrement.
"4 Bedroom Cottage Providence Bay, Manitoulin Island, Ontario!",4.5,15,Spring Bay, Ontario, mention of vacation rentals rental. Only regret was that we didn't plan a providence bay fishing charter...
Home Away from Home,5,41,Victoria, British Columbia, mention of vacation rentals seems to be their priority. The rental is amazing. It is a totally
Acer Vacations | Greystone Lodge Luxury Ski-in Ski-Out Whistler Accommodation,4.5,37,Whistler, British Columbia,"outdoor hot tub was bigger. All in all, a great location for a ski vacation."
"PRIME TORONTO DOWNTOWN LUX,SPACIOUS,GORGEOUS VIEW&FREE:WIFI,MOVIES,PARKING",4.5,23,Toronto, Ontario,the concierge - it was abundantly clear that short term rentals were not
"Seaside Cottage 2 bedrooms on the Ocean, hot tub, gas fireplace, furnished deck",5,53,Campbell River, British Columbia, mention of vacation rentals from the deck.We're planning to make this an annual vacation!
Country In The City private 1 & 2 Bedroom Suite,5,33,Niagara Falls, Ontario," mention of vacation rentals The rental was a beautiful, clean, and roomy place to stay. It was"
Accommodation Vacation Rental West Shore Victoria,4.5,4,Victoria, British Columbia,The bed was very comfortable and gave us a good night's sleep....
Big Rock Vacation Rental - 203,5,2,Campbell River, British Columbia, mentions of vacation rentals We stayed at the Big Rock Vacation Rental in March. We were
Presidential Condo - 207 - SALE - HALF OFF CLEANING until Monday!,4.5,27,Niagara Falls, Ontario, mention of vacation rentals This Vacation Rental was the second best thing we really enjoyed
Mini Resort mins to beach and downtown Peachland,5,22,Peachland, British Columbia, mention of vacation rentals friendly and a great host. I highly recommend this vacation rental.
Pat's Country Home,5,43,Niagara Falls, Ontario," mention of vacation rentals lovely vacation there. It is peaceful, and cool in Summer, which is"
Junior Presidential Condo - 110 - SALE - HALF OFF CLEANING until Monday!,4.5,25,Niagara Falls, Ontario," mentions of vacation rentals vacation rentals and came up with this choice. Very nice, comfortable"
"Trenanthia Cottage (Hot Tub, Sauna, Games Room, Log Fireplaces, Sandy Beach++)",4.5,74,Gravenhurst, Ontario,"cottage was great because unlike other rentals in the area, both our"
Far Horizons Luxury Vacation Home,5,28,Montebello, Quebec, mentions of vacation rentals Greg and Jen of Far Horizons surely ensured that this vacation house
"Luxury downtown condo, steps to Inner Harbor!!!",5,19,Victoria, British Columbia," mention of vacation rentals thought I would be spending part of a vacation to Canada at a Bug Zoo, but"
Cedar Ridge,4.5,18,Whistler, British Columbia, mentions of vacation rentals We stayed at Cedar Ridge  for a family vacation with  adults
Port Renfrew Vacation Rental - The Nest,5,2,Port Renfrew, British Columbia,
The Crow's Nest Luxury Vacation Home In Trinity NL,5,15,Trinity, Newfoundland and Labrador,equipped with every modern amenity you could hope for while on vacation.
Manitoulin Island Cottage Rental,5,20,South Baymouth, Ontario,We go every year to John Anita's house rental and it feels just like
Anglers Vacation Home,5,9,Campbell River, British Columbia, mention of vacation rentals unreservedly recommend this vacation rental. It was easy to communicate
Goose Cove Retreat,5,42,Trinity, Newfoundland and Labrador, mention of vacation rentals vacation homes in Trinity before for less the half the cost. Overall this
OCEANFRONT BEACH HOUSE - Black Rock Beach House,5,17,Ucluelet, British Columbia, mention of vacation rentals Black Rock Beach House is a great place for a vacation. The house is
"Bright, Cozy 1 bdrm apt. w/parking near Bluffs",5,16,Toronto, Ontario, mention of vacation rentals fantastic vacation rental. I would definitely recommend this place to anyone.
***LAKEFRONT COTTAGE RENTAL ON LAKE ST. CLAIR***,5,7,Lakeshore, Ontario,"Hello Stacy and Ken, It was a true delight to stay at your cottage on Lake St. C..."
Blue Heron Cove c/w Algonquin Park Pass - 4yr Award of Excellence Winner,5,40,Algonquin Provincial Park, Ontario, mention of vacation rentals company. This truly was one of the best family vacations we've had.
"Bright Condo Close to Beach, Golf & Royal Roads",5,20,Victoria, British Columbia, mentions of vacation rentals If you ever need to find a perfect example of how to run a vacation
grand-beach. ca Cabin Rental Manitoba grand beach,5,17,Grand Marais, Manitoba,recommend this cabin to anyone looking for a spectacular rental in
La Belle Brise,5,15,Cheticamp, Nova Scotia, mention of vacation rentals I'm glad I booked this holiday rental it met all our expectations. My
"Amberlea House; 5 bedroom w Heated Pool, Old Town",5,15,Niagara-on-the-Lake, Ontario, mention of vacation rentals when we are on vacation.....If you go to the end of the street (
"28 Glaciers Reach, this 2br home has a hot tub & pool in Whistler Village",4.5,43,Whistler, British Columbia, mention of vacation rentals find the rental unit. The unit is simply furnished but comfortable. It
Surf Shack - Cozy Digs with Hot Tub - 2 Min walk to the Beach,5,24,Tofino, British Columbia, mentions of vacation rentals make all the difference. We are frequent visitors to Vacation Rentals
Private Luxurious Penthouse suite. 2 Bedroom 2 Bathroom Spacious Home from Home,5,32,Canmore, Alberta," mentions of vacation rentals were using. Nevertheless, we would definitely recommend this vacation rental."
"300' lakefront, 50+ acres, Sat TV, Family Friendly",5,30,Spring Bay, Ontario, mention of vacation rentals need for a family vacation and the location is fantastic. The cottage
Absolutely Suite Vacation Rental,4.5,16,Oliver, British Columbia,We had a lovely time staying at Russell and Christine's suite! My husband and I w...
"Avalon, English Country home with heated pool",5,37,Niagara-on-the-Lake, Ontario, mention of vacation rentals We have had ten wonderful summer vacations with our family in NOTL.
Red Bay Getaway,4.5,26,Sauble Beach, Ontario, mention of vacation rentals unwind. Thanks for another memorable family vacation!
Altitude Luxury Ski-in/out 2-bedroom Condo,5,28,Mont Tremblant, Quebec,"This was our rd family vacation in Mont Tremblant, and our second"
Ocean View Vacation Home- Private and clean!,5,12,Rustico, Prince Edward Island," mention of vacation rentals , and favourite vacation spots, amenities, boardwalk for nightly walking"
58 Glaciers Reach this 1br home has a hot tub & pool in Whistler Village,4.5,85,Whistler, British Columbia, mentions of vacation rentals AllSeason Vacation Rental to anyone considering a Whistler getaway.
Cottage / Home Rental Lake Access close to Windsor,5,5,Windsor, Nova Scotia,This rental was spacious and very accommodating for our family. We
Vacation Home in Grand Bend On,4,16,Grand Bend, Ontario,make a family's vacation very relaxing. Thank you!
Sand beach cottage,4.5,20,Killaloe, Ontario, mention of vacation rentals Our week at Goldenville was great. We spent a week of vacation
sunshinecoast water front vacation rental,5,,Sechelt, British Columbia,
3 Bedroom Waterfront Cottage with Great Views!,4.5,35,Tobermory, Ontario,"is very expensive to buy up there. Overall, we had a nice (much needed) relaxing vacation!"
Coquitlam 2 bedroom apartment close to nature & downtown Vancouver,5,27,Coquitlam, British Columbia, mentions of vacation rentals This was one of the best rentals on our trip to West coast. Very
Muskoka Rocks Lake Muskoka,5,10,Muskoka Lakes, Ontario, mentions of vacation rentals Our family absolutely loved this vacation rental. Everything about
"Bulwinkles Place Vacation Rental, Very large Ocean front century home in Souris PEI",3.5,6,Souris, Prince Edward Island,Walking distance to downtown Souris and beautiful Souris beach....
"Spanish beauty in Vancouver, BC! Now Booking for Summer! Free Parking and WiFi!",5,35,Vancouver, British Columbia," mentions of vacation rentals Was a great Vacation Home, AMAZING VIEW, walking distance to many"
Norwest Adventures - Best of Both Property - 1000 sq ft - 3 bedroom home,5,23,Gander, Newfoundland and Labrador, mention of vacation rentals I happened upon this vacation rental when looking for hotels.
"Serenity Woods at Sproat Lake, Port Alberni, BC",5,18,Port Alberni, British Columbia,responded very quickly to all questions to ease my vacation worries. Definitely would come back.
Radium Hot Springs vacation rental,5,4,Radium Hot Springs, British Columbia,was a bit annoying. Would recommend this rental.
AWARD -WINNING LUXURY HERITAGE RESIDENCE - NO TRAVELLER BOOKING FEES!,5,20,Vancouver, British Columbia," mentions of vacation rentals rental for our holidays, in preference to hotels, this felt like you"
"109 Glaciers Reach, a 2br home with a hot tub & pool in Whistler Village",4,30,Whistler, British Columbia,"If you're looking for a place with a nice hot tub, this rental is"
Beach Ave Castle Luxury Vacation Rental--Okanagan Lake Front,4.5,9,Peachland, British Columbia,get full refund. I fortunately had a relative who could put us up. Beware if you book this vacation spot.
Beachfront Cottage on Beautiful St Margarets Bay,5,12,Boutiliers Point, Nova Scotia, mention of vacation rentals entering into a magic place. We had an amazing vacation because we stayed
Cottage in black rock,4.5,8,Big Bras d'Or, Nova Scotia, mention of vacation rentals Fantastic vacation cottage with everything you need. Great view of
Lake Therapy -- Kaslo B.C.,5,14,Kaslo, British Columbia, mention of vacation rentals relaxing. A great place to take a vacation. We will be back!
46 Glaciers Reach this 2br home has a hot tub & pool in Whistler Village,4.5,38,Whistler, British Columbia, mention of vacation rentals Would book again on next vacation!
Lakefront Rental - Breathtaking View,5,17,Saint-Adolphe-d'Howard, Quebec," mention of vacation rentals The vacation rental was great.. Beds confortable, fireplace works"
Worry Free IKON Destination luxury waterfront Family Chalet in Tremblant,5,30,Mont Tremblant, Quebec,information for a worry free vacation. We would certainly recommend this chalet any time of year.
Cute and Comfy Downtown Apartment with Great View,4.5,8,Montreal, Quebec, mention of vacation rentals vacation-within-vacation to Quebec City. (Suggestion: Upgrade to business class
Acer Vacations | 2 Bedroom Ski-In Out Whistler Accommodation Greystone Lodge,4.5,29,Whistler, British Columbia,The unit was ideal for our family during our pre-Christmas vacation.
Oceanside Haven Vacation Suite,5,13,Bowser, British Columbia," mention of vacation rentals vacation rental, we have some pretty beautiful memories here."
Spectacular Oceanfront Contemporary B&B,4.5,16,Victoria, British Columbia, mentions of vacation rentals This vacation rental was great! The views from the place could not be
G.C.H Get Away,4.5,19,Niagara Falls, Ontario, mentions of vacation rentals vacation rental. I think it's important to feel comfortable and have a good
THE BOATHOUSE COTTAGE - Oceanfront!,5,29,Eagle Head, Nova Scotia, mention of vacation rentals well equipped than most vacation rentals. All you have to do is bring
Twilly House - Twillingate Vacation Home Rental,5,29,Twillingate, Newfoundland and Labrador,"vacation!!! Thank you so much for the memorable stay, we felt like"
Lakeview Suites & Vacation Rentals,4,,Kelowna, British Columbia,vacation. My sister wants to come back once every year. Thank you Lucy
"Pool Shore Waterview - Lovely Vacation Rental, PEI",4.5,3,Cornwall, Prince Edward Island,vacation in August. The grounds were beautiful and very private. The beach at
Fuldord Dunderry Vacation Rental,5,2,Fulford Harbour, British Columbia,
"Hodder House Vacation Home near Trinity, Nl",5,13,Trinity, Newfoundland and Labrador,beautiful small community -- and this rental is just perfect. We
"Villa Orion: Home to Stay Forever, 2+1 Bdrs, 3 Bthrs, 6max. Beyond Expectations!",5,20,Penticton, British Columbia, mention of vacation rentals vacation rentals throughout Europe and the US. Our stay at Villa Orion was
BREEZY on Lake of Bays (wheelchair accessible),5,31,Lake of Bays, Ontario, mentions of vacation rentals vacation rental more highly. We will return!
TRULY BEACHFRONT - 180 degree unobstructed views,5,9,Parksville, British Columbia, mention of vacation rentals We were all very pleased with our choice of your vacation
Nelson Morning Mountain Vacation Rental,5,2,Nelson, British Columbia,"weekend vacation and will definitely book again! Close to town, close to"
Rental Suite in Contemporary House in Beautiful Ja,4.5,11,Victoria, British Columbia,barbecue if you're up for it! Would recommend to anyone looking for a great Victoria vacation.
Unforgettable vacation rental in Quebec,,,Montreal, Quebec,
Sylvan Lake Vacation Rental,,,Sylvan Lake, Alberta,
"Kayak Cape Breton & Cottages on Bras d'Or Lake , Cape Breton Island",5,28,St. Peter's, Nova Scotia,This location was my dream vacation. It was more than I expected. The
Perfect Tremblant escape or full-season rental,5,12,Mont Tremblant, Quebec,"definitely recommend the chalet, and the area, for a family vacation or longer-term stay."
Rustico Tides Cottages - Unit 1,5,19,North Rustico, Prince Edward Island, mention of vacation rentals This was a very nice rental in North Rustico. It is centrally
Wood-burning Fireplace + Incredible Balcony | Private Hot Tub,5,9,Labelle, Quebec, mention of vacation rentals looked liked a tapistry of colours. This vacation is really home away
71 Glaciers Reach this 2br home has a hot tub & pool in Whistler Village,4.5,51,Whistler, British Columbia, mention of vacation rentals stop accros the sreeet. Handy to supermarket& Avis rental. Clean tidy every thing worked. Would stay again.
2 bedroom suite located between Victoria & Sidney,5,19,Victoria, British Columbia, mentions of vacation rentals house. Easily the best rental home experience we have had. Highly recommend this beautiful  bedroom suite.
Gladee's at Hirtle's Beach Lunenburg,5,17,Lunenburg, Nova Scotia, mention of vacation rentals It was the perfect place to spend our vacation in Nova Scotia. The
Beautiful Valley View House,5,15,Wolfville, Nova Scotia," mention of vacation rentals If you’re thinking about starting a vacation rental yourself, I’d"
Heart of Tempe,4.5,3,Vancouver, British Columbia,having to drive a car into the middle of the city. This rental is
ChaletsOasis luxury lakeside 5 bedroom log home,5,36,Saint Sauveur des Monts, Quebec, mention of vacation rentals The family decided to treat itself to a luxury chalet rental for our
Near Downtown Montreal | Welcoming 2 Bedroom Apartment for Rent * By the River*,4.5,20,Montreal, Quebec,"about the local stores, restaurants and rentals, that helped us when"
Sandcastles Beach House - Duneside: Stunning View on PEI's Best Beach!,5,7,Darnley, Prince Edward Island, mention of vacation rentals could need or want for a family vacation or couples get-away is right
Lake Okanagan Resort Condo,4.5,7,West Kelowna, British Columbia, mentions of vacation rentals This was the third and final part of our split up vacation this
"Tillicum Bay Retreat, 3BR Villa with inlet views",5,20,Sechelt, British Columbia, mentions of vacation rentals towels. This was while we were on vacation wanting to have a relaxing
99 Glaciers Reach this 2br home has a hot tub & pool in Whistler Village,4.5,56,Whistler, British Columbia," mention of vacation rentals riding at the bike park, we stumbled onto AllSeasons Vacation Rentals."
Cache Rapids Vacation Rental,4.5,4,Deer Lake, Newfoundland and Labrador,"the owner, Dwayne, and his wife. Really great people. Would highly recommend this rental."
Northern Knights Sea View Cottage,5,26,Sea View, Prince Edward Island,"The cottage offers a very spacious, open cottage, just minutes for the red sand ..."
"Waterfront Condo in Delta Grand Okanagan Resort, a Marriott Resort",4.5,21,Kelowna, British Columbia, mention of vacation rentals this vacation rental - we used valet parking and enjoyed the food and
Luxury Condo - Directly on ski slopes - Equinoxe,5,33,Mont Tremblant, Quebec, mentions of vacation rentals This was our second time staying in this rental. Breathtaking views
Above the Inlet B&amp;B and Vacation Rental.... View!,5,38,Sechelt, British Columbia,privacy. This B & B and Vacation home offers three private suites and
Westburn Seaside Cottages - Willow Cottage,5,18,Sooke, British Columbia," mention of vacation rentals , my primary concerns when booking a vacation rental are: . Is it"
"Ghost Sign Suites #1, 1920s style",4.5,17,Montreal, Quebec,"final leg of a family vacation in Quebec. Though not downtown, the"
Cedarpoint Lakefront Vacation Rentals,,,Christina Lake, British Columbia,
Sovereignty Rentals Unit 2,4.5,13,Picton, Ontario,beautiful PEC and going to the beach (rental includes a pass for Sandbanks).
"1 bedroom suite, Vacation Rental, Deer Lake, NL.",4.5,2,Deer Lake, Newfoundland and Labrador,I would certainly stay there again for any future visits. Shawn Roberts - British...
"Halifax, Nova Scotia Oceanfront Vacation Rental",,,Halifax, Nova Scotia,
AMAZING LOCATION 1 BD CHARMING APT IN DOWNTOWN *4 BLOCKS FROM SEAWALL,5,21,Vancouver, British Columbia, mention of vacation rentals refrigerator... washer/dryer... it was the best apartment rental I have
Crystal Condo Montreal,5,31,Montreal, Quebec," mentions of vacation rentals had ever smoked in this unit. Many times in a rental, the owner"
Cedar Stone Cottage/Vacation Rental,5,2,Cookstown, Ontario,
Mont-Tremblant condo with Mountain View and Spa Quebec/2 Rooms,4.5,49,Mont Tremblant, Quebec,"for a  week ski vacation, my husband and  kids. The two bedroom was"
Lakefront Charm; City and Country Combined!,5,16,Victoria, British Columbia," mention of vacation rentals , not far away from the Ferry Terminal and an ideal vacation spot to"
"8 Acre Wood Cottage Dorset, Algonquin & Huntsville",5,31,Dorset, Ontario,vacation. The problems began right after we left. First of all and the
'Angells' Landing' on the Big Rideau Lake - Vacation Rental Listing Details,4.5,2,Sharbot Lake, Ontario,"(Note: binder with notes in the cottage had directions to a key-padded dumpster,..."
Squires House Vacation Rental,,,Penticton, British Columbia,
Toronto Beaches Boardwalk Modern Lower Level Suite,5,19,Toronto, Ontario,We were very pleased with this basement rental which had just enough
Villa Chalet Charlevoix Quebec Luxury 4 Season,5,25,Charlevoix, Quebec, mentions of vacation rentals wonderful vacation started with arriving at the Villa Chalet
Butler's Spruce Cottage - 7 min.walk Stanhope Nat. Beach,4.5,38,Stanhope, Prince Edward Island,It was a perfect cottage for a perfect vacation. The cottage felt
APEX Downtown Montreal,5,20,Montreal, Quebec, mention of vacation rentals I booked this rental for my family (parents and  adult child) who
Oceanfront Cottage in Gros Morne National Park (Bayview Heights),5,52,Rocky Harbour, Newfoundland and Labrador, mention of vacation rentals impaired. Locating and accessing the vacation rental was very easy.
Victoria Street Executive Rental,5,26,Nelson, British Columbia,"vacation, instantly. The place was great for our kids, with beautiful wide"
The Summer House Vacation Retreat ~ Your home in Prince Edward County,5,12,Wellington, Ontario,"this price, this his the best vacation house you could get in"
Tudor Cottage,5,19,Victoria, British Columbia,walking distance to downtown. Rental is top floor of home and has a lovely view.
Clifton Hill Luxury Condo - 201 - SALE - HALF OFF CLEANING until Monday!,4.5,16,Niagara Falls, Ontario,"our one-week vacation to Niagara Falls. Looking forward to coming back, Madeline Mason & Mason Family"
Lakefront Cottage with Private Dock. Hot Tub. Quebec Eastern Townships Owls Head,5,6,Mansonville, Quebec," mention of vacation rentals vacation and now that we booked to go back, starting packing about a month"
Private Waterfront Bluewater Cottage/Bowen Island,5,14,Bowen Island, British Columbia, mention of vacation rentals Stayed at this Vacation Rental Cottage for  nights and could not
Watermark Sunset Suite,5,7,Sidney, British Columbia, mentions of vacation rentals I stayed here with my family on vacation in August . We
Black Rock Ridge,5,6,Ucluelet, British Columbia, mention of vacation rentals recommend this spot and will plan my future vacations to the area around this rentals availability.
"Toronto outskirts, Milton relaxing oasis",4.5,24,Toronto, Ontario, mentions of vacation rentals wedding. Cynthia was great at getting back to us on the rental and
Pearl Point Beach House,5,21,Courtenay, British Columbia," mention of vacation rentals previous panoramic water-view, great kitchen rental had only one"
HuronBeaches - Top of the HIll Retreat,5,12,Port Albert, Ontario,out there...we selected this rental to celebrate our th wedding
Walk to Beach from Stanhope Cottages Luxury,5,11,Stanhope, Prince Edward Island, mention of vacation rentals The location of these holiday rentals were close to the beaches
SkyView on LaHave Island Near Lunenburg. Hi Above Trees/360 Degree Ocean Views!,5,39,Lunenburg, Nova Scotia, mention of vacation rentals Enterprise when we returned our rental car!!)
Chalets by Stanhope Beach- Adults only 1 or 2 bedroom,5,34,Stanhope, Prince Edward Island," mention of vacation rentals vacation. The pictures do not do it justice, absolutely beautiful"
Spectacular Lake and Mountain view Suite,5,19,Peachland, British Columbia, mention of vacation rentals It was the best place we stayed in while on vacation this year.
Mountain View Terrace - Affordable Luxury!,5,37,Mont Tremblant, Quebec, mention of vacation rentals enjoyment that we felt as if we had gone on an extended vacation. We
